"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000104385",3.17823494827498,3.76157465402956,1.21085641466809,3.10654063393688,0.00189290291595879,0.0098308194259294
"ENSMUSG00000057363",951.411742766331,1.28746766386276,0.143881942422091,8.9480837010516,3.61706732200909e-19,3.67382293120809e-17
"ENSMUSG00000026049",265.564888771025,0.904416182470319,0.147441440029525,6.1340704641057,8.56585479750636e-10,2.63904374809487e-08
"ENSMUSG00000032666",265.678065383075,2.47513479917369,0.324829726412974,7.61979153357078,2.54085729253293e-14,1.47985688371161e-12
"ENSMUSG00000026482",1760.82743222169,2.01145944126921,0.578381781711658,3.47773651396231,0.00050566672142404,0.00334868505208085
"ENSMUSG00000008475",4236.17740051701,0.745286574878445,0.227833385550868,3.27119123949482,0.00107095462213234,0.00623314050514761
"ENSMUSG00000054702",16.9657699620554,2.83689049378666,0.809470395721215,3.50462538072078,0.000457250201936446,0.00308392844183773
"ENSMUSG00000073643",1410.1738347145,0.816911893656259,0.240912535908166,3.39090654032076,0.000696618521746356,0.00438541455892024
"ENSMUSG00000026248",485.956842036301,0.42735204039816,0.13761294811361,3.1054638844402,0.00189980819435794,0.00985643844356885
"ENSMUSG00000025917",2724.41244250556,0.345225845181651,0.0868604153305622,3.97448992003819,7.05302490355064e-05,0.000630733286471426
"ENSMUSG00000026479",1602.05878632064,2.13776612364757,0.565287746898043,3.78173087136301,0.000155741687843354,0.00124280437021879
"ENSMUSG00000026478",18555.9581457231,1.59461724353065,0.363886045415039,4.38218850000656,1.17493084361804e-05,0.000134973894522484
"ENSMUSG00000026475",933.081519704192,3.31018994175043,1.04536024767952,3.16655425638995,0.00154256566890926,0.00835717178022432
"ENSMUSG00000048960",267.854627551381,1.8825326421364,0.477159815015394,3.94528747580236,7.97042972871054e-05,0.000700735950744411
"ENSMUSG00000073633",98.5839430380856,0.933566393464643,0.298381977035646,3.12876267775757,0.00175544027630126,0.00924566415338602
"ENSMUSG00000060743",461.6684460638,1.2307087335523,0.355698359116622,3.45997866453129,0.000540218189365906,0.00353718335416576
